segment_id,mslink,VAL_MAE_baseline,VAL_MAE_ensemble,VAL_RMSE_ensemble,VAL_R2_ensemble,VAL_Coverage,TEST_MAE_baseline,TEST_MAE_ensemble,TEST_RMSE_ensemble,TEST_R2_ensemble,TEST_Coverage,90d_forecast_total_lambda,VAL_MAE_improvement,TEST_MAE_improvement
MSLINK_66,66,0.17777777777777776,0.0004420865435625453,0.0010599151153978734,0.9999908911887688,100.0,0.18888888888888886,0.00019516235838315613,0.00057164185372816,0.9999947482684278,100.0,5.8434,0.17733569123421522,0.1886937265305057
MSLINK_67,67,0.8611111111111112,0.027241354399478772,0.08066613568989585,0.9948356940895708,100.0,0.8777777777777779,0.0318500253587563,0.10693159524734741,0.9834284549824022,100.0,21.199,0.8338697567116324,0.8459277524190216
MSLINK_68,68,0.1888888888888889,0.0005665291172848452,0.0013451890943506236,0.9999853281051387,100.0,0.4000000000000001,0.0021894690810347777,0.007208867466568391,0.9998732493410962,100.0,7.5268,0.18832235977160405,0.3978105309189653
MSLINK_69,69,0.06111111111111111,0.00105371575522243,0.005956718212836954,0.9988988192179162,100.0,0.12222222222222222,0.0013078616652885658,0.00534765926281889,0.9995403979708555,100.0,1.3692999999999997,0.06005739535588868,0.12091436055693365
MSLINK_70,70,0.03333333333333333,0.00025796795761086724,0.0002995481730390752,0.0,100.0,0.1,0.001532832191096387,0.00728716494554313,0.9995879957271621,100.0,3.5642999999999994,0.03307536537572246,0.09846716780890362
MSLINK_74,74,0.03333333333333333,0.0006173807658840062,0.004083496437008069,0.9989825458416304,100.0,0.03333333333333333,0.001876976090691857,0.010234185879899011,0.9967494929461417,100.0,1.3855,0.03271595256744933,0.031456357242641474
MSLINK_78,78,0.08888888888888888,0.0008671432353867462,0.004726362727561604,0.9995297156919477,100.0,0.12222222222222222,0.0019019631055793675,0.0062101070390949975,0.9993801984554765,100.0,2.9252,0.08802174565350213,0.12032025911664285
MSLINK_79,79,0.08333333333333331,0.0004355562896854809,0.002297897675422654,0.9999194525363722,100.0,0.2111111111111111,0.0003002020182594246,0.000552761924004046,0.999998049708013,100.0,2.3115,0.08289777704364783,0.2108109090928517
MSLINK_81,81,0.041666666666666664,0.00019404639938665235,0.00030019183231449846,0.0,100.0,0.23333333333333334,0.0016042736486284578,0.007910556717827625,0.9998838779034487,100.0,5.925299999999999,0.04147262026728001,0.2317290596847049
MSLINK_84,84,0.16111111111111112,0.0009324055174209404,0.0020534777537883895,0.9999322304679148,100.0,0.2111111111111111,0.0006455789087943253,0.0015810274881022848,0.9999878395506685,100.0,3.7119,0.16017870559369018,0.21046553220231679
MSLINK_85,85,0.03888888888888888,0.0011645946190304637,0.0030254475220955392,0.9994414915635215,100.0,0.41111111111111115,0.02386568214335081,0.07862450407900866,0.9957070745543958,100.0,2.770199999999999,0.03772429426985842,0.3872454289677603
MSLINK_86,86,0.2777777777777778,0.001325704424720173,0.00667026215008518,0.9998724740209052,100.0,0.3222222222222222,0.00025424790437147406,0.0011649032525328242,0.9999913383005037,100.0,4.5765,0.2764520733530576,0.32196797431785074
MSLINK_87,87,0.41666666666666663,0.00015282036090381035,0.0007992426785549228,0.9999916376731156,100.0,0.41111111111111115,0.0004545607084869691,0.0017524105839712286,0.9999734245329872,100.0,12.020199999999999,0.4165138463057628,0.41065655040262417
MSLINK_89,89,0.12222222222222222,0.00028819456021198983,0.0014299353530837812,0.9999841358310121,100.0,0.12222222222222222,0.00010700346149136545,0.0005860820958995624,0.9999893398965234,100.0,2.7175999999999996,0.12193402766201022,0.12211521876073085
MSLINK_90,90,0.09444444444444443,0.0010899380313782114,0.004671082983537903,0.9996493372390145,100.0,0.13333333333333333,0.0005691127569110226,0.00176198670319034,0.9999501046887858,100.0,2.8152999999999997,0.09335450641306621,0.13276422057642231
MSLINK_96,96,0.3777777777777777,8.065381874002555e-05,0.0002447199162461478,0.9999997221698265,100.0,0.5666666666666667,0.0013915494523083149,0.004082114234177444,0.9999560196746077,100.0,7.0195,0.3776971239590377,0.5652751172143583
MSLINK_97,97,0.05,0.000617685637918664,0.0016576937176427137,0.9999147188408496,100.0,0.08888888888888888,0.004968224861595658,0.026605810483415353,0.9886235314940809,100.0,1.3870999999999998,0.04938231436208134,0.08392066402729322
MSLINK_98,98,0.12222222222222222,0.0004088887397640208,0.0011229467616963823,0.9999843998833451,100.0,0.15555555555555553,0.0005517393729832295,0.0013870006623907531,0.9999690822543977,100.0,4.5456,0.1218133334824582,0.1550038161825723
MSLINK_99,99,0.24444444444444444,0.00031963285308263804,0.0011848175343909743,0.9999917288816312,100.0,0.2666666666666666,0.010372748778481848,0.055821363162313044,0.9828998650806771,100.0,7.9808,0.2441248115913618,0.2562939178881848
